County,Year,Year Code,Drug/Alcohol Induced Cause,Deaths,Population
"Cabell County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),94,95987
"Cabell County, WV",2016,2016,All other non-drug and non-alcohol causes,1148,95987
"Cabell County, WV",2016,2016,,1258,95987
"Cabell County, WV",,,,4755,383409
"Calhoun County, WV",2004,2004,All other non-drug and non-alcohol causes,89,7411
"Calhoun County, WV",2004,2004,,90,7411
"Calhoun County, WV",2008,2008,All other non-drug and non-alcohol causes,90,7621
"Calhoun County, WV",2008,2008,,91,7621
"Calhoun County, WV",2012,2012,All other non-drug and non-alcohol causes,101,7607
"Calhoun County, WV",2012,2012,,105,7607
"Calhoun County, WV",2016,2016,All other non-drug and non-alcohol causes,76,7336
"Calhoun County, WV",2016,2016,,79,7336
"Calhoun County, WV",,,,365,29975
"Clay County, WV",2004,2004,All other non-drug and non-alcohol causes,111,10055
"Clay County, WV",2004,2004,,113,10055
"Clay County, WV",2008,2008,All other non-drug and non-alcohol causes,120,9603
"Clay County, WV",2008,2008,,121,9603
"Clay County, WV",2012,2012,All other non-drug and non-alcohol causes,104,9297
"Clay County, WV",2012,2012,,112,9297
"Clay County, WV",2016,2016,All other non-drug and non-alcohol causes,119,8859
"Clay County, WV",2016,2016,,123,8859
"Clay County, WV",,,,469,37814
"Doddridge County, WV",2004,2004,All other non-drug and non-alcohol causes,87,7669
"Doddridge County, WV",2004,2004,,88,7669
"Doddridge County, WV",2008,2008,All other non-drug and non-alcohol causes,78,8034
"Doddridge County, WV",2008,2008,,80,8034
"Doddridge County, WV",2012,2012,All other non-drug and non-alcohol causes,79,8178
"Doddridge County, WV",2012,2012,,83,8178
"Doddridge County, WV",2016,2016,All other non-drug and non-alcohol causes,83,8413
"Doddridge County, WV",2016,2016,,85,8413
"Doddridge County, WV",,,,336,32294
"Fayette County, WV",2004,2004,All other non-drug and non-alcohol causes,591,46717
"Fayette County, WV",2004,2004,,603,46717
"Fayette County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),12,46171
"Fayette County, WV",2008,2008,All other non-drug and non-alcohol causes,607,46171
"Fayette County, WV",2008,2008,,626,46171
"Fayette County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),21,45869
"Fayette County, WV",2012,2012,All other non-drug and non-alcohol causes,611,45869
"Fayette County, WV",2012,2012,,640,45869
"Fayette County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),15,44323
"Fayette County, WV",2016,2016,All other non-drug and non-alcohol causes,640,44323
"Fayette County, WV",2016,2016,,661,44323
"Fayette County, WV",,,,2530,183080
"Gilmer County, WV",2004,2004,All other non-drug and non-alcohol causes,77,7764
"Gilmer County, WV",2004,2004,,78,7764
"Gilmer County, WV",2008,2008,All other non-drug and non-alcohol causes,78,8408
"Gilmer County, WV",2008,2008,,81,8408
"Gilmer County, WV",2012,2012,All other non-drug and non-alcohol causes,80,8732
"Gilmer County, WV",2012,2012,,82,8732
"Gilmer County, WV",2016,2016,All other non-drug and non-alcohol causes,90,8249
"Gilmer County, WV",2016,2016,,90,8249
"Gilmer County, WV",,,,331,33153
"Grant County, WV",2004,2004,All other non-drug and non-alcohol causes,118,11558
"Grant County, WV",2004,2004,,119,11558
"Grant County, WV",2008,2008,All other non-drug and non-alcohol causes,116,12022
"Grant County, WV",2008,2008,,116,12022
"Grant County, WV",2012,2012,All other non-drug and non-alcohol causes,123,11816
"Grant County, WV",2012,2012,,127,11816
"Grant County, WV",2016,2016,All other non-drug and non-alcohol causes,129,11732
"Grant County, WV",2016,2016,,133,11732
"Grant County, WV",,,,495,47128
"Greenbrier County, WV",2004,2004,All other non-drug and non-alcohol causes,438,34938
"Greenbrier County, WV",2004,2004,,453,34938
"Greenbrier County, WV",2008,2008,All other non-drug and non-alcohol causes,489,35457
"Greenbrier County, WV",2008,2008,,498,35457
"Greenbrier County, WV",2012,2012,All other non-drug and non-alcohol causes,453,35820
"Greenbrier County, WV",2012,2012,,467,35820
"Greenbrier County, WV",2016,2016,All other non-drug and non-alcohol causes,465,35279
"Greenbrier County, WV",2016,2016,,477,35279
"Greenbrier County, WV",,,,1895,141494
"Hampshire County, WV",2004,2004,All other non-drug and non-alcohol causes,209,21766
"Hampshire County, WV",2004,2004,,217,21766
"Hampshire County, WV",2008,2008,All other non-drug and non-alcohol causes,201,23664
"Hampshire County, WV",2008,2008,,208,23664
"Hampshire County, WV",2012,2012,All other non-drug and non-alcohol causes,243,23709
"Hampshire County, WV",2012,2012,,251,23709
"Hampshire County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),14,23301
"Hampshire County, WV",2016,2016,All other non-drug and non-alcohol causes,237,23301
"Hampshire County, WV",2016,2016,,256,23301
"Hampshire County, WV",,,,932,92440
"Hancock County, WV",2004,2004,All other non-drug and non-alcohol causes,420,31600
"Hancock County, WV",2004,2004,,427,31600
"Hancock County, WV",2008,2008,All other non-drug and non-alcohol causes,409,30802
"Hancock County, WV",2008,2008,,419,30802
"Hancock County, WV",2012,2012,All other non-drug and non-alcohol causes,427,30305
"Hancock County, WV",2012,2012,,440,30305
"Hancock County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),11,29590
"Hancock County, WV",2016,2016,All other non-drug and non-alcohol causes,426,29590
"Hancock County, WV",2016,2016,,443,29590
"Hancock County, WV",,,,1729,122297
"Hardy County, WV",2004,2004,All other non-drug and non-alcohol causes,137,13325
"Hardy County, WV",2004,2004,,141,13325
"Hardy County, WV",2008,2008,All other non-drug and non-alcohol causes,126,13793
"Hardy County, WV",2008,2008,,128,13793
"Hardy County, WV",2012,2012,All other non-drug and non-alcohol causes,128,13866
"Hardy County, WV",2012,2012,,131,13866
"Hardy County, WV",2016,2016,All other non-drug and non-alcohol causes,167,13889
"Hardy County, WV",2016,2016,,169,13889
"Hardy County, WV",,,,569,54873
"Harrison County, WV",2004,2004,All other non-drug and non-alcohol causes,828,67900
"Harrison County, WV",2004,2004,,843,67900
"Harrison County, WV",2008,2008,All other non-drug and non-alcohol causes,805,68441
"Harrison County, WV",2008,2008,,823,68441
"Harrison County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),14,69141
"Harrison County, WV",2012,2012,All other non-drug and non-alcohol causes,811,69141
"Harrison County, WV",2012,2012,,834,69141
"Harrison County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),23,68400
"Harrison County, WV",2016,2016,All other non-drug and non-alcohol causes,815,68400
"Harrison County, WV",2016,2016,,851,68400
"Harrison County, WV",,,,3351,273882
"Jackson County, WV",2004,2004,All other non-drug and non-alcohol causes,258,28676
"Jackson County, WV",2004,2004,,259,28676
"Jackson County, WV",2008,2008,All other non-drug and non-alcohol causes,339,29101
"Jackson County, WV",2008,2008,,346,29101
"Jackson County, WV",2012,2012,All other non-drug and non-alcohol causes,347,29234
"Jackson County, WV",2012,2012,,352,29234
"Jackson County, WV",2016,2016,All other non-drug and non-alcohol causes,341,29152
"Jackson County, WV",2016,2016,,348,29152
"Jackson County, WV",,,,1305,116163
"Jefferson County, WV",2004,2004,All other non-drug and non-alcohol causes,375,47163
"Jefferson County, WV",2004,2004,,388,47163
"Jefferson County, WV",2008,2008,All other non-drug and non-alcohol causes,388,52184
"Jefferson County, WV",2008,2008,,402,52184
"Jefferson County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),10,54504
"Jefferson County, WV",2012,2012,All other non-drug and non-alcohol causes,436,54504
"Jefferson County, WV",2012,2012,,449,54504
"Jefferson County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),33,56368
"Jefferson County, WV",2016,2016,All other non-drug and non-alcohol causes,450,56368
"Jefferson County, WV",2016,2016,,490,56368
"Jefferson County, WV",,,,1729,210219
"Kanawha County, WV",2004,2004,Drug poisonings (overdose) Unintentional (X40-X44),29,195364
"Kanawha County, WV",2004,2004,All other alcohol-induced causes,19,195364
"Kanawha County, WV",2004,2004,All other non-drug and non-alcohol causes,2411,195364
"Kanawha County, WV",2004,2004,,2469,195364
"Kanawha County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),54,192414
"Kanawha County, WV",2008,2008,All other alcohol-induced causes,11,192414
"Kanawha County, WV",2008,2008,All other non-drug and non-alcohol causes,2494,192414
"Kanawha County, WV",2008,2008,,2578,192414
"Kanawha County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),53,192179
"Kanawha County, WV",2012,2012,All other alcohol-induced causes,23,192179
"Kanawha County, WV",2012,2012,All other non-drug and non-alcohol causes,2328,192179
"Kanawha County, WV",2012,2012,,2418,192179
"Kanawha County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),104,186241
"Kanawha County, WV",2016,2016,All other alcohol-induced causes,32,186241
"Kanawha County, WV",2016,2016,All other non-drug and non-alcohol causes,2373,186241
"Kanawha County, WV",2016,2016,,2529,186241
"Kanawha County, WV",,,,9994,766198
"Lewis County, WV",2004,2004,All other non-drug and non-alcohol causes,206,16622
"Lewis County, WV",2004,2004,,208,16622
"Lewis County, WV",2008,2008,All other non-drug and non-alcohol causes,215,16422
"Lewis County, WV",2008,2008,,219,16422
"Lewis County, WV",2012,2012,All other non-drug and non-alcohol causes,235,16371
"Lewis County, WV",2012,2012,,238,16371
"Lewis County, WV",2016,2016,All other non-drug and non-alcohol causes,230,16309
"Lewis County, WV",2016,2016,,234,16309
"Lewis County, WV",,,,899,65724
"Lincoln County, WV",2004,2004,All other non-drug and non-alcohol causes,270,22168
"Lincoln County, WV",2004,2004,,276,22168
"Lincoln County, WV",2008,2008,All other non-drug and non-alcohol causes,262,21881
"Lincoln County, WV",2008,2008,,268,21881
"Lincoln County, WV",2012,2012,All other non-drug and non-alcohol causes,239,21627
"Lincoln County, WV",2012,2012,,245,21627
"Lincoln County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),13,21232
"Lincoln County, WV",2016,2016,All other non-drug and non-alcohol causes,260,21232
"Lincoln County, WV",2016,2016,,277,21232
"Lincoln County, WV",,,,1066,86908
"Logan County, WV",2004,2004,Drug poisonings (overdose) Unintentional (X40-X44),14,36582
"Logan County, WV",2004,2004,All other non-drug and non-alcohol causes,458,36582
"Logan County, WV",2004,2004,,474,36582
"Logan County, WV",2008,2008,All other non-drug and non-alcohol causes,486,36548
"Logan County, WV",2008,2008,,498,36548
"Logan County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),14,36168
"Logan County, WV",2012,2012,All other non-drug and non-alcohol causes,500,36168
"Logan County, WV",2012,2012,,515,36168
"Logan County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),14,33700
"Logan County, WV",2016,2016,All other non-drug and non-alcohol causes,518,33700
"Logan County, WV",2016,2016,,540,33700
"Logan County, WV",,,,2027,142998
"McDowell County, WV",2004,2004,All other non-drug and non-alcohol causes,376,24264
"McDowell County, WV",2004,2004,,397,24264
"McDowell County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),22,22494
"McDowell County, WV",2008,2008,All other non-drug and non-alcohol causes,349,22494
"McDowell County, WV",2008,2008,,374,22494
"McDowell County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),13,21326
"McDowell County, WV",2012,2012,All other non-drug and non-alcohol causes,383,21326
"McDowell County, WV",2012,2012,,399,21326
"McDowell County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),10,19141
"McDowell County, WV",2016,2016,All other non-drug and non-alcohol causes,324,19141
"McDowell County, WV",2016,2016,,343,19141
"McDowell County, WV",,,,1513,87225
"Marion County, WV",2004,2004,All other non-drug and non-alcohol causes,688,55957
"Marion County, WV",2004,2004,,694,55957
"Marion County, WV",2008,2008,All other non-drug and non-alcohol causes,716,56141
"Marion County, WV",2008,2008,,730,56141
"Marion County, WV",2012,2012,All other non-drug and non-alcohol causes,649,56678
"Marion County, WV",2012,2012,,657,56678
"Marion County, WV",2016,2016,All other non-drug and non-alcohol causes,693,56538
"Marion County, WV",2016,2016,,710,56538
"Marion County, WV",,,,2791,225314
"Marshall County, WV",2004,2004,All other non-drug and non-alcohol causes,395,34521
"Marshall County, WV",2004,2004,,397,34521
"Marshall County, WV",2008,2008,All other non-drug and non-alcohol causes,400,33248
"Marshall County, WV",2008,2008,,406,33248
"Marshall County, WV",2012,2012,All other non-drug and non-alcohol causes,425,32674
"Marshall County, WV",2012,2012,,437,32674
"Marshall County, WV",2016,2016,All other non-drug and non-alcohol causes,377,31793
"Marshall County, WV",2016,2016,,391,31793
"Marshall County, WV",,,,1631,132236
"Mason County, WV",2004,2004,All other non-drug and non-alcohol causes,283,26521
"Mason County, WV",2004,2004,,289,26521
"Mason County, WV",2008,2008,All other non-drug and non-alcohol causes,305,27097
"Mason County, WV",2008,2008,,311,27097
"Mason County, WV",2012,2012,All other non-drug and non-alcohol causes,319,27179
"Mason County, WV",2012,2012,,326,27179
"Mason County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),14,26825
"Mason County, WV",2016,2016,All other non-drug and non-alcohol causes,323,26825
"Mason County, WV",2016,2016,,342,26825
"Mason County, WV",,,,1268,107622
"Mercer County, WV",2004,2004,Drug poisonings (overdose) Unintentional (X40-X44),12,61694
"Mercer County, WV",2004,2004,All other non-drug and non-alcohol causes,792,61694
"Mercer County, WV",2004,2004,,814,61694
"Mercer County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),26,61848
"Mercer County, WV",2008,2008,All other non-drug and non-alcohol causes,817,61848
"Mercer County, WV",2008,2008,,848,61848
"Mercer County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),34,62523
"Mercer County, WV",2012,2012,All other non-drug and non-alcohol causes,868,62523
"Mercer County, WV",2012,2012,,912,62523
"Mercer County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),40,60468
"Mercer County, WV",2016,2016,All other non-drug and non-alcohol causes,798,60468
"Mercer County, WV",2016,2016,,847,60468
"Mercer County, WV",,,,3421,246533
"Mineral County, WV",2004,2004,All other non-drug and non-alcohol causes,302,27250
"Mineral County, WV",2004,2004,,306,27250
"Mineral County, WV",2008,2008,All other non-drug and non-alcohol causes,281,27824
"Mineral County, WV",2008,2008,,287,27824
"Mineral County, WV",2012,2012,All other non-drug and non-alcohol causes,306,27956
"Mineral County, WV",2012,2012,,310,27956
"Mineral County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),11,27411
"Mineral County, WV",2016,2016,All other non-drug and non-alcohol causes,322,27411
"Mineral County, WV",2016,2016,,338,27411
"Mineral County, WV",,,,1241,110441
"Mingo County, WV",2004,2004,All other non-drug and non-alcohol causes,325,27214
"Mingo County, WV",2004,2004,,336,27214
"Mingo County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),18,26850
"Mingo County, WV",2008,2008,All other non-drug and non-alcohol causes,359,26850
"Mingo County, WV",2008,2008,,378,26850
"Mingo County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),18,26103
"Mingo County, WV",2012,2012,All other non-drug and non-alcohol causes,326,26103
"Mingo County, WV",2012,2012,,349,26103
"Mingo County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),22,24647
"Mingo County, WV",2016,2016,All other non-drug and non-alcohol causes,316,24647
"Mingo County, WV",2016,2016,,343,24647
"Mingo County, WV",,,,1406,104814
"Monongalia County, WV",2004,2004,All other non-drug and non-alcohol causes,601,87101
"Monongalia County, WV",2004,2004,,613,87101
"Monongalia County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),13,92200
"Monongalia County, WV",2008,2008,All other non-drug and non-alcohol causes,614,92200
"Monongalia County, WV",2008,2008,,634,92200
"Monongalia County, WV",2012,2012,All other non-drug and non-alcohol causes,632,100332
"Monongalia County, WV",2012,2012,,651,100332
"Monongalia County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),30,104622
"Monongalia County, WV",2016,2016,All other non-drug and non-alcohol causes,693,104622
"Monongalia County, WV",2016,2016,,726,104622
"Monongalia County, WV",,,,2624,384255
"Monroe County, WV",2004,2004,All other non-drug and non-alcohol causes,160,13355
"Monroe County, WV",2004,2004,,163,13355
"Monroe County, WV",2008,2008,All other non-drug and non-alcohol causes,161,13607
"Monroe County, WV",2008,2008,,165,13607
"Monroe County, WV",2012,2012,All other non-drug and non-alcohol causes,157,13463
"Monroe County, WV",2012,2012,,166,13463
"Monroe County, WV",2016,2016,All other non-drug and non-alcohol causes,156,13370
"Monroe County, WV",2016,2016,,161,13370
"Monroe County, WV",,,,655,53795
"Morgan County, WV",2004,2004,All other non-drug and non-alcohol causes,168,16117
"Morgan County, WV",2004,2004,,171,16117
"Morgan County, WV",2008,2008,All other non-drug and non-alcohol causes,191,17520
"Morgan County, WV",2008,2008,,196,17520
"Morgan County, WV",2012,2012,All other non-drug and non-alcohol causes,183,17471
"Morgan County, WV",2012,2012,,190,17471
"Morgan County, WV",2016,2016,All other non-drug and non-alcohol causes,233,17632
"Morgan County, WV",2016,2016,,241,17632
"Morgan County, WV",,,,798,68740
"Nicholas County, WV",2004,2004,All other non-drug and non-alcohol causes,278,26089
"Nicholas County, WV",2004,2004,,284,26089
"Nicholas County, WV",2008,2008,All other non-drug and non-alcohol causes,317,26138
"Nicholas County, WV",2008,2008,,326,26138
"Nicholas County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),11,26229
"Nicholas County, WV",2012,2012,All other non-drug and non-alcohol causes,340,26229
"Nicholas County, WV",2012,2012,,356,26229
"Nicholas County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),12,25311
"Nicholas County, WV",2016,2016,All other non-drug and non-alcohol causes,316,25311
"Nicholas County, WV",2016,2016,,337,25311
"Nicholas County, WV",,,,1303,103767
"Ohio County, WV",2004,2004,All other non-drug and non-alcohol causes,592,45424
"Ohio County, WV",2004,2004,,600,45424
"Ohio County, WV",2008,2008,All other non-drug and non-alcohol causes,558,44469
"Ohio County, WV",2008,2008,,571,44469
"Ohio County, WV",2012,2012,All other non-drug and non-alcohol causes,621,44075
"Ohio County, WV",2012,2012,,630,44075
"Ohio County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),10,42516
"Ohio County, WV",2016,2016,All other non-drug and non-alcohol causes,601,42516
"Ohio County, WV",2016,2016,,617,42516
"Ohio County, WV",,,,2418,176484
"Pendleton County, WV",2004,2004,All other non-drug and non-alcohol causes,96,8036
"Pendleton County, WV",2004,2004,,99,8036
"Pendleton County, WV",2008,2008,All other non-drug and non-alcohol causes,105,7761
"Pendleton County, WV",2008,2008,,106,7761
"Pendleton County, WV",2012,2012,All other non-drug and non-alcohol causes,103,7566
"Pendleton County, WV",2012,2012,,103,7566
"Pendleton County, WV",2016,2016,All other non-drug and non-alcohol causes,94,7051
"Pendleton County, WV",2016,2016,,95,7051
"Pendleton County, WV",,,,403,30414
"Pleasants County, WV",2004,2004,All other non-drug and non-alcohol causes,82,7731
"Pleasants County, WV",2004,2004,,84,7731
"Pleasants County, WV",2008,2008,All other non-drug and non-alcohol causes,83,7702
"Pleasants County, WV",2008,2008,,83,7702
"Pleasants County, WV",2012,2012,All other non-drug and non-alcohol causes,103,7595
"Pleasants County, WV",2012,2012,,103,7595
"Pleasants County, WV",2016,2016,All other non-drug and non-alcohol causes,93,7591
"Pleasants County, WV",2016,2016,,94,7591
"Pleasants County, WV",,,,364,30619
"Pocahontas County, WV",2004,2004,All other non-drug and non-alcohol causes,132,9090
"Pocahontas County, WV",2004,2004,,139,9090
"Pocahontas County, WV",2008,2008,All other non-drug and non-alcohol causes,104,8807
"Pocahontas County, WV",2008,2008,,107,8807
"Pocahontas County, WV",2012,2012,All other non-drug and non-alcohol causes,106,8692
"Pocahontas County, WV",2012,2012,,107,8692
"Pocahontas County, WV",2016,2016,All other non-drug and non-alcohol causes,91,8501
"Pocahontas County, WV",2016,2016,,94,8501
"Pocahontas County, WV",,,,447,35090
"Preston County, WV",2004,2004,All other non-drug and non-alcohol causes,317,30961
"Preston County, WV",2004,2004,,318,30961
"Preston County, WV",2008,2008,All other non-drug and non-alcohol causes,337,33067
"Preston County, WV",2008,2008,,340,33067
"Preston County, WV",2012,2012,All other non-drug and non-alcohol causes,352,33832
"Preston County, WV",2012,2012,,362,33832
"Preston County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),11,33758
"Preston County, WV",2016,2016,All other non-drug and non-alcohol causes,352,33758
"Preston County, WV",2016,2016,,367,33758
"Preston County, WV",,,,1387,131618
"Putnam County, WV",2004,2004,All other non-drug and non-alcohol causes,454,53122
"Putnam County, WV",2004,2004,,464,53122
"Putnam County, WV",2008,2008,All other non-drug and non-alcohol causes,521,55051
"Putnam County, WV",2008,2008,,535,55051
"Putnam County, WV",2012,2012,All other non-drug and non-alcohol causes,571,56435
"Putnam County, WV",2012,2012,,582,56435
"Putnam County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),18,56941
"Putnam County, WV",2016,2016,All other non-drug and non-alcohol causes,595,56941
"Putnam County, WV",2016,2016,,621,56941
"Putnam County, WV",,,,2202,221549
"Raleigh County, WV",2004,2004,Drug poisonings (overdose) Unintentional (X40-X44),18,78428
"Raleigh County, WV",2004,2004,All other non-drug and non-alcohol causes,858,78428
"Raleigh County, WV",2004,2004,,886,78428
"Raleigh County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),15,78379
"Raleigh County, WV",2008,2008,All other non-drug and non-alcohol causes,890,78379
"Raleigh County, WV",2008,2008,,919,78379
"Raleigh County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),54,79021
"Raleigh County, WV",2012,2012,All other non-drug and non-alcohol causes,1007,79021
"Raleigh County, WV",2012,2012,,1071,79021
"Raleigh County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),40,76601
"Raleigh County, WV",2016,2016,All other alcohol-induced causes,13,76601
"Raleigh County, WV",2016,2016,All other non-drug and non-alcohol causes,994,76601
"Raleigh County, WV",2016,2016,,1053,76601
"Raleigh County, WV",,,,3929,312429
"Randolph County, WV",2004,2004,All other non-drug and non-alcohol causes,343,28648
"Randolph County, WV",2004,2004,,353,28648
"Randolph County, WV",2008,2008,All other non-drug and non-alcohol causes,331,29236
"Randolph County, WV",2008,2008,,338,29236
"Randolph County, WV",2012,2012,All other non-drug and non-alcohol causes,347,29384
"Randolph County, WV",2012,2012,,355,29384
"Randolph County, WV",2016,2016,All other non-drug and non-alcohol causes,355,29006
"Randolph County, WV",2016,2016,,366,29006
"Randolph County, WV",,,,1412,116274
"Ritchie County, WV",2004,2004,All other non-drug and non-alcohol causes,125,10415
"Ritchie County, WV",2004,2004,,126,10415
"Ritchie County, WV",2008,2008,All other non-drug and non-alcohol causes,127,10516
"Ritchie County, WV",2008,2008,,128,10516
"Ritchie County, WV",2012,2012,All other non-drug and non-alcohol causes,125,10236
"Ritchie County, WV",2012,2012,,126,10236
"Ritchie County, WV",2016,2016,All other non-drug and non-alcohol causes,105,9875
"Ritchie County, WV",2016,2016,,107,9875
"Ritchie County, WV",,,,487,41042
"Roane County, WV",2004,2004,All other non-drug and non-alcohol causes,179,15337
"Roane County, WV",2004,2004,,180,15337
"Roane County, WV",2008,2008,All other non-drug and non-alcohol causes,187,15048
"Roane County, WV",2008,2008,,189,15048
"Roane County, WV",2012,2012,All other non-drug and non-alcohol causes,187,14684
"Roane County, WV",2012,2012,,191,14684
"Roane County, WV",2016,2016,All other non-drug and non-alcohol causes,205,14208
"Roane County, WV",2016,2016,,215,14208
"Roane County, WV",,,,775,59277
"Summers County, WV",2004,2004,All other non-drug and non-alcohol causes,154,13997
