type,county,name,address,city,zip
PUBLIC,Berkeley,Martinsburg North Middle School,250 East Road ,Martinsburg,25404
PUBLIC,Berkeley,Tuscarora Elementary School,2000 Tavern Road ,Martinsburg,25401
PUBLIC,Berkeley,Back Creek Valley Elementary School,1962 Back Creek Valley Road ,Hedgesville,25427
PUBLIC,Berkeley,Mountain Ridge Middle School,2771 Gerrardstown Road,Gerrardstown,25420
PUBLIC,Berkeley,Spring Mills Primary,401 Campus Drive ,Martinsburg,25404
PUBLIC,Berkeley,Opequon Elementary School,395 East Road ,Martinsburg,25404
PUBLIC,Berkeley,Pikeside Learning Center,3635 Winchester Ave ,Martinsburg,25405
PUBLIC,Berkeley,Orchard View Intermediate School,1455 Delmar Orchard Rd ,Martinsburg,25403
PUBLIC,Berkeley,Inwood Primary School,7864 Winchester Ave ,Inwood,25428
PUBLIC,Berkeley,Martinsburg High School,701 South Queen Street ,Martinsburg,25401
PUBLIC,Berkeley,Mill Creek Intermediate School,8785 Winchester Avenue ,Bunker Hill,25413
PUBLIC,Berkeley,Gerrardstown Elementary School,15 Dominion Road ,Gerrardstown,25420
PUBLIC,Berkeley,Spring Mills Middle School,255 Campus Drive ,Martinsburg,25404
PUBLIC,Berkeley,Spring Mills High School,499 Campus Drive,Martinsburg,25404
PUBLIC,Berkeley,Tomahawk Intermediate School,6665 Hedgesville Road ,Hedgesville,25427
PUBLIC,Berkeley,Bunker Hill Elementary School,58 Happy School Avenue ,Bunker Hill,25413
PUBLIC,Berkeley,Martinsburg South Middle School,150 Bulldog Boulevard ,Martinsburg,25401
PUBLIC,Berkeley,Valley View Elementary School,140 Nadenbousch Lane ,Martinsburg,25405
PUBLIC,Berkeley,Bedington Elementary School,149 Bedington Road ,Martinsburg,25404
PUBLIC,Berkeley,Hedgesville Middle School,334 School House Drive ,Hedgesville,25427
PUBLIC,Boone,Sherman High School,10008 Coal River Road Po Box Ab,Seth,25181
PUBLIC,Boone,Jeffrey-Spencer Elementary,3277 Hewett Creek Road Po Box 319,Hewett,25108
PUBLIC,Boone,Sherman Junior High School,9846 Coal River Road Po Box Aa,Seth,25181
PUBLIC,Boone,Whitesville Elementary School,"37949 Coal River Road Hc82, Box 265",Whitesville,25209
PUBLIC,Boone,Brookview Elementary,1 Learning Way ,Foster,25081
PUBLIC,Boone,Wharton Elementary,36071 Pond Fork Road Po Box 60,Wharton,25208
PUBLIC,Boone,Ramage Elementary,"15908 Spruce River Road Rt 1, Box 293",Danville,25053
PUBLIC,Boone,Van Junior/Senior High School,913 Van High School Road Po Box 100,Van,25206
PUBLIC,Boone,Madison Elementary,150 Josephine Avenue ,Madison,25130
PUBLIC,Boone,Scott High School,1 Skyhawk Place ,Madison,25130
PUBLIC,Boone,Ashford-Rumble Elementary,1649 Ashford Nellis Road ,Ashford,25009
PUBLIC,Boone,Madison Middle School,404 Riverside Dr-W ,Madison,25130
PUBLIC,Boone,Sherman Elementary School,7487 Coal River Road Po Box 369,Comfort,25049
PUBLIC,Boone,Van Elementary,338 Van High School Road Po Box 360,Van,25206
PUBLIC,Boone,Boone Career-Technical Center,"3505 Daniel Boone Pkwy-Suite B Hc81, Box 50-B",Danville,25053
PUBLIC,Boone,Nellis Elementary,"179 Memorial Drive,1 School St Box 135",Nellis,25142
PUBLIC,Braxton,Braxton County Middle School,100 Carter Braxton Drive ,Sutton,26601
PUBLIC,Braxton,Little Birch Elementary School,55 Little Birch Road,Sutton,26601
PUBLIC,Braxton,Flatwoods Elementary School,Po Box 130 ,Flatwoods,26621
PUBLIC,Braxton,Burnsville Elementary School,Po Box 35 228 Kanawha Ave,Burnsville,26335
PUBLIC,Braxton,Braxton County High School,200 Jerry Burton Drive ,Sutton,26601
PUBLIC,Braxton,Sutton Elementary School,288 N Hill Road ,Sutton,26601
PUBLIC,Braxton,Frametown Elementary School,Hc 61 Box 14 ,Frametown,26623
PUBLIC,Braxton,Davis Elementary School,113 Fifth Street ,Gassaway,26624
PUBLIC,Brooke,Wellsburg Middle School,1447 Main Street ,Wellsburg,26070
PUBLIC,Brooke,Wellsburg Primary School,1448 Main Street ,Wellsburg,26070
PUBLIC,Brooke,Jefferson Primary School,Jefferson Street ,Follansbee,26037
PUBLIC,Brooke,Franklin Primary School,1305 Washington Pike ,Wellsburg,26070
PUBLIC,Brooke,Beech Bottom Primary,High Street ,Beech Bottom,26030
PUBLIC,Brooke,Brooke High School,"R.d. 3, Box 610 Cross Creek Road",Wellsburg,26070
PUBLIC,Brooke,Follansbee Middle School,1400 Main Street ,Follansbee,26037
PUBLIC,Brooke,Lauretta B Millsop Primary School,Legion & Swearingen ,Weirton,26062
PUBLIC,Brooke,Hooverson Heights Primary School,200 Rockdale Road ,Follansbee,26037
PUBLIC,Brooke,Colliers Primary School,Penn Street ,Colliers,26035
PUBLIC,Cabell,Cabell County Career Technology Center,1035 Norway Ave ,Huntington,25705
PUBLIC,Cabell,Village Of Barboursville Elementary Sch,718 Central Ave ,Barboursville,25504
PUBLIC,Cabell,Highlawn Elementary School,2549 1st Avenue ,Huntington,25703
PUBLIC,Cabell,Huntington High School,1 Highlander Way ,Huntington,25701
PUBLIC,Cabell,Spring Hill Elementary School,1901 Hall Avenue ,Huntington,25701
PUBLIC,Cabell,Geneva Kent Elementary School,68 Holley Avenue ,Huntington,25705
PUBLIC,Cabell,Alternative School,2800 5th Ave ,Huntington,25702
PUBLIC,Cabell,Peyton Elementary School,199 Rotary Rd ,Huntington,25705
PUBLIC,Cabell,Culloden Elementary School,2100 U.s. Route 60 ,Culloden,25510
PUBLIC,Cabell,Milton Middle School,1 Panther Trail ,Milton,25541
PUBLIC,Cabell,Nichols Elementary School,3505 Erwin Road ,Barboursville,25504
PUBLIC,Cabell,Altizer Elementary School,"250 Third Street, Altizer ",Huntington,25705
PUBLIC,Cabell,Beverly Hills Middle School,2901 Saltwell Rd ,Huntington,25705
PUBLIC,Cabell,Meadows Elementary School,1601 Washington Blvd ,Huntington,25701
PUBLIC,Cabell,Southside Elementary,200 Tenth Avenue ,Huntington,25701
PUBLIC,Cabell,Hite Saunders Elementary School,3708 Green Valley Road ,Huntington,25701
PUBLIC,Cabell,Cabell County Career Technology Center,1035 Norway Ave ,Huntington,25705
PUBLIC,Cabell,Central City Elementary School,2100 Washington Ave ,Huntington,25704
PUBLIC,Cabell,Guyandotte Elementary School,607 5th Ave Guy ,Huntington,25702
PUBLIC,Cabell,Cabell Midland High School,2300 Us Route 60 East ,Ona,25545
PUBLIC,Cabell,Salt Rock Elementary School,5570 Madison Creek Rd ,Salt Rock,25559
PUBLIC,Cabell,Huntington East Middle School,2901 Saltwell Rd,Huntington,25705
PUBLIC,Cabell,Davis Creek Elementary School,6330 Davis Creek Rd ,Barboursville,25504
PUBLIC,Cabell,Explorer Academy,68 Holley Ave,Huntington,25705
PUBLIC,Cabell,Huntington Middle School,925 Third Street ,Huntington,25701
PUBLIC,Cabell,Ona Elementary School,2701 Elementary Dr ,Ona,25545
PUBLIC,Cabell,Cox Landing Elementary School,6358 Cox Lane ,Lesage,25537
PUBLIC,Cabell,Enslow Middle School,2613 Collis Ave ,Huntington,25702
PUBLIC,Cabell,Milton Elementary School,1201 Pike St. ,Milton,25541
PUBLIC,Cabell,Barboursville Middle School,1400 Central Ave ,Barboursville,25504
PUBLIC,Cabell,Martha Elementary School,3067 Martha Road ,Barboursville,25504
PUBLIC,Calhoun,Pleasant Hill School,3254 N Calhoun Hwy ,Grantsville,26147
PUBLIC,Calhoun,Calhoun Middle/High School,50 Underwood Circle ,Mt. Zion,26151
PUBLIC,Calhoun,Arnoldsburg School,Post Office Box 159 ,Arnoldsburg,25234
PUBLIC,Calhoun,Calhoun-Gilmer Career Center,5260 E Little Kanawha Hwy,Grantsville,26147
PUBLIC,Clay,Clay County High School,Po Box 729 1 Panther Drive,Clay,25043
PUBLIC,Clay,Big Otter Elementary School,Po Box 100 59 Ossia Road,Ivydale,25113
PUBLIC,Clay,Lizemore Elementary School,Po Box 70 #1 Lizemore Street,Lizemore,25125
PUBLIC,Clay,Clay Middle School,Po Box 489 419 Church Street,Clay,25043
PUBLIC,Clay,H E White Elementary School,501 Bomont Road ,Bomont,25030
PUBLIC,Clay,Clay Elementary School,Po Box 600 219 Church Street,Clay,25043
PUBLIC,Doddridge,Doddridge County Preschool Center,2945 Smithton Road,West Union,26426
PUBLIC,Doddridge,Doddridge County High School,79 Bulldog Drive ,West Union,26456
PUBLIC,Doddridge,Doddridge County Elementary School,182 Doddridge School Road,West Union,26456
PUBLIC,Doddridge,Doddridge County Middle School,65 Doddridge School Road,West Union,26456
PUBLIC,Fayette,Meadow Bridge Elementary,2725 Main Street ,Meadow Bridge,25976
PUBLIC,Fayette,Midland Trail High,Po Box 89 Rt 60-E,Hico,25854
PUBLIC,Fayette,Gatewood Elementary,5094 Gatewood Road ,Fayetteville,25840
PUBLIC,Fayette,Fayetteville High,515 West Maple Avenue ,Fayetteville,25840
PUBLIC,Fayette,Divide Elementary,Po Box 180 ,Lookout,25868
PUBLIC,Fayette,Ansted Middle,Po Box 766 ,Ansted,25812
PUBLIC,Fayette,Valley Elementary,Po Box 215 ,Smithers,25186
PUBLIC,Fayette,Fayette Institute Of Technology,300 West Oyler Avenue ,Oak Hill,25901
PUBLIC,Fayette,Mount Hope Elementary,408 Lincoln Street ,Mount Hope,25880
PUBLIC,Fayette,Oak Hill High,350 West Oyler Avenue ,Oak Hill,25901
PUBLIC,Fayette,Gauley Bridge Elementary,Po Box 519 ,Gauley Bridge,25085
PUBLIC,Fayette,Meadow Bridge High,2775 Main Street ,Meadow Bridge,25976
PUBLIC,Fayette,Fayetteville Elementary,200 Wiseman Avenue ,Fayetteville,25840
PUBLIC,Fayette,Collins Middle,601 Jones Avenue ,Oak Hill,25901
PUBLIC,Fayette,Ansted Elementary,Po Box 609 ,Ansted,25812
PUBLIC,Fayette,New River Elementary,262 Oyler Avenue ,Oak Hill,25901
PUBLIC,Fayette,Rosedale Elementary,4001 Summerlee Rd ,Oak Hill,25901
PUBLIC,Fayette,Valley High School,Po Box 459 Greyhound Lane,Smithers,25186
PUBLIC,Gilmer,Calhoun-Gilmer Career Center,5260 East Little Kanawha Hwy,Grantsville,26147
PUBLIC,Gilmer,Gilmer County Elementary School,99 Fairground Road,Glenville,26351
PUBLIC,Gilmer,Gilmer County High School,300 Pine Street ,Glenville,26351
PUBLIC,Grant,Petersburg High School,207 Jefferson Avenue ,Petersburg,26847
PUBLIC,Grant,Maysville Elementary School,7147 Highway 42s ,Maysville,26833
PUBLIC,Grant,Union Educational Complex,Hc 76 Box 750 ,Mount Storm,26839
PUBLIC,Grant,South Branch Career & Technical Center,401 Pierpont Street ,Petersburg,26847
PUBLIC,Grant,Petersburg Elementary School,333 Rig Street ,Petersburg,26847
PUBLIC,Grant,Dorcas Elementary School,Hc 33 Box 1060 ,Petersburg,26847
PUBLIC,Greenbrier,Ronceverte Elementary,246 Ronceverte Elementary School Drive,Ronceverte,24970
PUBLIC,Greenbrier,Frankford Elementary,21692 Seneca Trail ,Frankford,24938
PUBLIC,Greenbrier,Smoot Elementary,General Delivery ,Smoot,24977
PUBLIC,Greenbrier,Greenbrier West High School,Po Box 325 One Cavalier Drive,Charmco,25958
PUBLIC,Greenbrier,Rainelle Elementary,701 Kanawha Avenue ,Rainelle,25962
PUBLIC,Greenbrier,Western Greenbrier Middle School,Hc 40 Box 14 ,Crawley,24931
PUBLIC,Greenbrier,White Sulphur Elementary,150 Reed Street ,White Sulphur Springs,24986
PUBLIC,Greenbrier,Lewisburg Elementary,206 North Lee Street ,Lewisburg,24901
PUBLIC,Greenbrier,Alderson Elementary,Rr1 Box 162f ,Alderson,24910
PUBLIC,Greenbrier,Greenbrier School Of Practical Nursing,One Spartan Lane ,Lewisburg,24901
PUBLIC,Greenbrier,Rupert Elementary,Po Drawer D ,Rupert,25984
PUBLIC,Greenbrier,Greenbrier East High School,One Spartan Lane ,Lewisburg,24901
PUBLIC,Greenbrier,Crichton Elementary,Po Box 205 ,Quinwood,25981
PUBLIC,Greenbrier,Eastern Greenbrier Middle School,Route 1 Box 150 ,Ronceverte,24970
PUBLIC,Hampshire,Hampshire Senior High School,"Hc 63, Box 1970 ",Romney,26757
PUBLIC,Hampshire,Capon Bridge Middle School,"Hc 71, Box 1001 ",Capon Bridge,26711
PUBLIC,Hampshire,Springfield-Green Spring Elementary School,Hc 65 Box 9000 ,Springfield,26763
PUBLIC,Hampshire,Romney Elementary School,45 School Street ,Romney,26757
PUBLIC,Hampshire,Augusta Elementary School,Po Box 910 ,Augusta,26704
PUBLIC,Hampshire,Hampshire County Career Training Center,Hc 63 Box 1970 ,Romney,26757
PUBLIC,Hampshire,Romney Middle School,"Hc 63, Box 1975 ",Romney,26757
PUBLIC,Hampshire,Capon Bridge Elementary School,"Hc 71, Box 1000 ",Capon Bridge,26711
PUBLIC,Hampshire,Slanesville Elementary School,P.o. Box 308 ,Slanesville,25444
PUBLIC,Hampshire,John J. Cornwell,"Hc 60, Box 72 ",Levels,25431
PUBLIC,Hancock,Weir Middle School,125 Sinclair Avenue ,Weirton,26062
PUBLIC,Hancock,Weirton Elementary,3428 Pennsylvania Ave,Weirton,26062
PUBLIC,Hancock,Weirton Heights Elementary School,160 South 12th Street ,Weirton,26062
PUBLIC,Hancock,Liberty Elementary School,200 Culler Road ,Weirton,26062
PUBLIC,Hancock,Weir High School,100 Red Rider Road ,Weirton,26062
PUBLIC,Hancock,Oak Glen Middle School,39 Golden Bear Drive ,New Cumberland,26047
PUBLIC,Hancock,A. T. Allison Elementary School,600 Railroad Street ,Chester,26034
PUBLIC,Hancock,New Manchester Elementary School,128 Frankfort Road ,New Cumberland,26047
PUBLIC,Hancock,Broadview Elementary School,189 Circle Drive ,Weirton,26062
PUBLIC,Hancock,John D. Rockefeller Career Center,95 Rockyside Road ,New Cumberland,26047
PUBLIC,Hancock,Oak Glen High School,195 Golden Bear Drive ,New Cumberland,26047
PUBLIC,Hardy,Moorefield Intermediate School,345 Caledonia Heights Road ,Moorefield,26836
PUBLIC,Hardy,Moorefield Elementary School,400 North Main Street ,Moorefield,26836
PUBLIC,Hardy,Moorefield High School,401 North Main Street ,Moorefield,26836
PUBLIC,Hardy,Moorefield Middle School,303 Caledonia Heights Road ,Moorefield,26836
PUBLIC,Hardy,East Hardy Early/Middle School,P. O. Box 260 238 Cougar Drive,Baker,26801
PUBLIC,Hardy,East Hardy High School,P. O. Box 120 259 Cougar Drive,Baker,26801
PUBLIC,Harrison,Mountaineer Middle School,2 Mountaineer Dr ,Clarksburg,26301
PUBLIC,Harrison,United High School,,,
PUBLIC,Harrison,Simpson Elementary School,250 Worthington Dr ,Bridgeport,26330
PUBLIC,Harrison,Washington Irving Middle School,443 Lee Ave ,Clarksburg,26301
PUBLIC,Harrison,North View Elementary School,1400 N 19th Street ,Clarksburg,26301
PUBLIC,Harrison,Pressley Ridge School,Rr 5 Box 697 ,Clarksburg,26301
PUBLIC,Harrison,Bridgeport Middle School,413 Johnson Ave ,Bridgeport,26330
PUBLIC,Harrison,Lost Creek Elementary School,Po Box 128 ,Lost Creek,26385
PUBLIC,Harrison,Robert C. Byrd High School,1 Eagle Way ,Clarksburg,26301
PUBLIC,Harrison,Nutter Fort Intermediate School,1302 Buckhannon Pike ,Nutter Fort,26301
PUBLIC,Harrison,Adamston Elementary School,1636 W Pike St ,Clarksburg,26301
PUBLIC,Harrison,Lincoln High School,Rr 1 Box 300 ,Shinnston,26431
PUBLIC,Harrison,Big Elm Elementary School,200 Tetrick Rd ,Shinnston,26431
PUBLIC,Harrison,Bridgeport High School,515 Johnson Ave ,Bridgeport,26330
PUBLIC,Harrison,West Milford Elementary School,226 School St ,West Milford,26451
PUBLIC,Harrison,South Harrison Middle School,Rr 1 Box 58b ,Lost Creek,26385
PUBLIC,Harrison,Harrison Co Transitional Middle School,1349 Shinnston Pk,Clarksburg,26301
PUBLIC,Harrison,Norwood Elementary School,208 Kidd Ave ,Stonewood,26301
PUBLIC,Harrison,United Technical Center,251 Marietta St.,Clarksburg,26301
PUBLIC,Harrison,Lumberport Middle School,314 Main Street ,Lumberport,26386
PUBLIC,Harrison,Lumberport Elementary School,Po Box 417 Chestnut & Lyndon Streets,Lumberport,26386
PUBLIC,Harrison,Harrison Co Alternative Learning Center,Rr 3 Box 43b ,Clarksburg,26301
PUBLIC,Harrison,Salem Elementary,Rr 1 Box 10a ,Salem,26426
PUBLIC,Harrison,Johnson Elementary School,531 Johnson Ave ,Bridgeport,26330
PUBLIC,Harrison,South Harrison High School,Rr 1 Box 58 ,Lost Creek,26385
PUBLIC,Harrison,Nutter Fort Primary School,1302 Buckhannon Pike ,Nutter Fort,26301
PUBLIC,Harrison,Liberty High School,1 Mountaineer Dr ,Clarksburg,26301
PUBLIC,Harrison,Wilsonburg Elementary School,Rr 4 Box 1 ,Clarksburg,26301
PUBLIC,Jackson,Evans Elementary School,205 Schoolhouse Drive ,Evans,25241
PUBLIC,Jackson,Ravenswood High School,Plaza Drive ,Ravenswood,26164
PUBLIC,Jackson,Ravenswood Middle School,409 Sycamore Street ,Ravenswood,26164
PUBLIC,Jackson,Ravenswood Grade School,"Rt 2, Box 22-A ",Ravenswood,26164
PUBLIC,Jackson,Kenna Elementary School,650 Route 21 ,Kenna,25248
PUBLIC,Jackson,Fairplain Elementary School,Rt 3 Box 147 ,Ripley,25271
PUBLIC,Jackson,Ripley High School,2 School Street ,Ripley,25271
PUBLIC,Jackson,Cottageville Elementary School,100 School Street ,Cottageville,25239
PUBLIC,Jackson,Ripley Middle School,"Route 2, Box 75-A Klondyke Road",Ripley,25271
PUBLIC,Jackson,Ripley Elementary School,404 Second Avenue ,Ripley,25271
PUBLIC,Jackson,Henry J Kaiser Elementary School,803 Kaiser Avenue ,Ravenswood,26164
PUBLIC,Jackson,Gilmore Elementary School,"Rt. 3, Box 28-A ",Sandyville,25275
PUBLIC,Jackson,Roane-Jackson Technical Center,9450 Spencer Rd,Leroy,25252
PUBLIC,Jefferson,South Jefferson Elementary School,4599 Summit Point Road ,Charles Town,25414
PUBLIC,Jefferson,Washington High School,300 Washington Patriots Drive ,Charles Town,25414
PUBLIC,Jefferson,Shepherdstown Elementary School,662 South Church Street ,Shepherdstown,25443
PUBLIC,Jefferson,Wildwood Middle School,1209 Shenandoah Junction Road ,Shenandoah Junction,25442
PUBLIC,Jefferson,Page Jackson Elementary,370 Page Jackson School Road ,Charles Town,25414
PUBLIC,Jefferson,Harpers Ferry Middle School,1710 West Washington Street ,Harpers Ferry,25425
PUBLIC,Jefferson,Blue Ridge Elementary School,18866 Charles Town Road ,Harpers Ferry,25425
PUBLIC,Jefferson,Driswood Elementary School,75 Caspian Way ,Shenandoah Junction,25442
PUBLIC,Jefferson,Wright Denny Intermediate School,209 West Congress Street ,Charles Town,25414
PUBLIC,Jefferson,C. W. Shipley Elementary School,652 Shipley School Road ,Harpers Ferry,25425
PUBLIC,Jefferson,Blue Ridge Primary,175 Lowery Lane ,Harpers Ferry,25425
PUBLIC,Jefferson,Jefferson High School,4141 Flowing Springs Road ,Shenandoah Junction,25442
PUBLIC,Jefferson,Ranson Elementary School,600 North Preston Street ,Ranson,25438
PUBLIC,Jefferson,Shepherdstown Middle School,54 Minden Avenue ,Shepherdstown,25443
PUBLIC,Jefferson,North Jefferson Elementary,6996 Charles Town Road ,Kearneysville,25430
PUBLIC,Jefferson,Charles Town Middle School,193 High Street ,Charles Town,25414
PUBLIC,Jefferson,T A Lowery Elementary School,103 Shenandoah Junction Road ,Shenandoah Junction,25442
PUBLIC,Kanawha,Pinch Elementary School,300 South Pinch Rd ,Elkview,25071
PUBLIC,Kanawha,Holz Elementary School,1505 Hampton Rd ,Charleston,25314
PUBLIC,Kanawha,Ben Franklin Career Center,500 28th Street ,Dunbar,25064
PUBLIC,Kanawha,Cedar Grove Elementary School,Po Box J ,Cedar Grove,25039
PUBLIC,Kanawha,Stonewall Jackson Middle School,812 Park Avenue ,Charleston,25302
PUBLIC,Kanawha,Andrew Jackson Middle School,5445 Big Tyler Road ,Charleston,25313
PUBLIC,Kanawha,Sissonville Elementary School,8324 Sissonville Drive ,Sissonville,25320
PUBLIC,Kanawha,Nitro Elementary School,1921 19th Street ,Nitro,25143
PUBLIC,Kanawha,Glenwood Elementary School,810 Grant St ,Charleston,25302
PUBLIC,Kanawha,Riverside High School,#1 Warrior Way ,Belle,25015
PUBLIC,Kanawha,Bonham Elementary School,"Route 1, Box 425a ",Charleston,25312
PUBLIC,Kanawha,Sissonville Middle School,100 Middle School Lane ,Charleston,25312
PUBLIC,Kanawha,Mary C. Snow West Side Elementary School,100 Florida Street ,Charleston,25302
PUBLIC,Kanawha,Sharon Dawes Elementary School,P O Box 149 ,Miami,25134
PUBLIC,Kanawha,Midland Trail Elementary School,200 Ferry St ,Diamond,25015
PUBLIC,Kanawha,Dunbar Primary Center,2401 Myers Avenue ,Dunbar,25064
PUBLIC,Kanawha,South Charleston High School,1 Eagle Way ,South Charleston,25309
PUBLIC,Kanawha,Anne Bailey Elementary School,405 Winfield Road ,St. Albans,25177
PUBLIC,Kanawha,Horace Mann Middle School,4300 Maccorkle Avenue ,Charleston,25304
PUBLIC,Kanawha,Piedmont Year-Round Education,203 Bradford Street ,Charleston,25301
PUBLIC,Kanawha,Ruffner Elementary School,809 Litz Drive ,Charleston,25311
PUBLIC,Kanawha,Marmet Elementary School,408 94th St ,Marmet,25315
PUBLIC,Kanawha,Clendenin Elementary School,P O Box 462 ,Clendenin,25045
PUBLIC,Kanawha,Saint Albans High School,2100 Kanawha Terrace ,St. Albans,25177
PUBLIC,Kanawha,Alum Creek Elementary School,Rt 7 Box 279a ,So Charleston,25309
PUBLIC,Kanawha,Elkview Middle School,5090 N Elk River Rd ,Elkview,25071
PUBLIC,Kanawha,Elk Elementary Center,3320 Pennsylvania Ave ,Charleston,25302
PUBLIC,Kanawha,Richmond Elementary School,4620 Spring Hill Avenue ,South Charleston,25309
PUBLIC,Kanawha,Lakewood Elementary School,2089 Lakewood Drive ,St. Albans,25177
PUBLIC,Kanawha,Chandler Elementary School,1900 School Street ,Charleston,25312
PUBLIC,Kanawha,Herbert Hoover High School,5096 N Elk River Rd ,Elkview,25071
PUBLIC,Kanawha,Du Pont Middle School,1 Panther Way ,Belle,25015
PUBLIC,Kanawha,George C. Weimer Elementary School,3040 Kanawha Terrace ,St. Albans,25177
PUBLIC,Kanawha,Point Harmony Elementary School,5312 Big Tyler Road ,Cross Lanes,25313
PUBLIC,Kanawha,Kanawha City Elementary School,3601 Staunton Avenue Se ,Charleston,25304
PUBLIC,Kanawha,Carver Career Center,4799 Midland Dr ,Charleston,25306
PUBLIC,Kanawha,Central Elementary School,900 Helene Street ,St. Albans,25177
PUBLIC,Kanawha,Tyler Middle School,4277 West Washington Street ,Charleston,25313
PUBLIC,Kanawha,Cedar Grove Middle School,Po Box J ,Cedar Grove,25039
PUBLIC,Kanawha,Watts Elementary School,230 Costello St ,Charleston,25302
PUBLIC,Kanawha,Overbrook Elementary School,218 Overbrook Rd ,Charleston,25314
PUBLIC,Kanawha,Grandview Elementary School,959 Woodward Drive ,Charleston,25312
PUBLIC,Kanawha,Chandler Academy,1900 School Street,Charleston,25312
PUBLIC,Kanawha,Bridge Elementary School,5120 Elk River Road N ,Elkview,25071
PUBLIC,Kanawha,South Charleston Middle School,400 Third Avenue ,South Charleston,25303
PUBLIC,Kanawha,John Adams Middle School,2002 Presidential Dr ,Charleston,25314
PUBLIC,Kanawha,Shoals Elementary School,100 Dutch Rd ,Charleston,25302
PUBLIC,Kanawha,Montrose Elementary School,631 Montrose Drive ,So. Charleston,25303
PUBLIC,Kanawha,Flinn Elementary School,2006 Mcclure Parkway ,Charleston,25312
PUBLIC,Kanawha,Capital High School,1500 Greenbrier St ,Charleston,25311
PUBLIC,Kanawha,Belle Elementary School,401 E 6th Street ,Belle,25015
PUBLIC,Kanawha,Mckinley Middle School,3000 Kanawha Terrace ,St. Albans,25177
PUBLIC,Kanawha,Edgewood Elementary,550 Hawks Ridge,Charleston,25302
PUBLIC,Kanawha,Dunbar Intermediate Center,1330 Myers Avenue ,Dunbar,25064
PUBLIC,Kanawha,Ruthlawn Elementary School,Rt 8 Box 428 ,So Charleston,25309
PUBLIC,Kanawha,Mary Ingles Elementary School,Po Box 367 ,Tad,25201
PUBLIC,Kanawha,Cross Lanes Elementary School,5525 Big Tyler Road ,Charleston,25313
PUBLIC,Kanawha,Sissonville High School,6100 Sissonville Dr. ,Charleston,25312
PUBLIC,Kanawha,Andrews Heights Elementary School,P O  Box 340 ,Tornado,25202
PUBLIC,Kanawha,Hayes Middle School,830 Strawberry Road ,St. Albans,25177
PUBLIC,Kanawha,Bridgeview Elementary School,5100 Ohio Street ,South Charleston,25309
PUBLIC,Kanawha,J E Robins Elementary School,915 Beech Ave ,Charleston,25302
PUBLIC,Kanawha,Malden Elementary School,4001 Salinas Drive ,Charleston,25306
PUBLIC,Kanawha,Chesapeake Elementary School,13620 Mccorkle Ave ,Chesapeake,25315
PUBLIC,Kanawha,Nitro High School,1300 Park Avenue ,Nitro,25143
PUBLIC,Kanawha,Alban Elementary School,2030 Harrison Avenue ,St. Albans,25177
PUBLIC,Kanawha,East Bank Middle School,Po Box 897 ,East Bank,25067
PUBLIC,Kanawha,Shawnee Community Center,142 Marshall Avenue ,Dunbar,25064
PUBLIC,Kanawha,Pratt Elementary School,Center And Stark Street ,Pratt,25162
PUBLIC,Kanawha,Kenna Elementary School,198 Eureka Rd ,Charleston,25314
PUBLIC,Kanawha,Garnet Career Center,422 Dickinson Street ,Charleston,25301
PUBLIC,Kanawha,Chamberlain Elementary School,4901 Venable Av S E ,Charleston,25304
